Symbol,Name,Allocation,AssetClass,Sector,Industry,InstrumentType,vqTheme
ADBE,Adobe Systems Incorporated,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
HUBS,HubSpot Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
INTU,Intuit Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
NOW,ServiceNow Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
ORCL,Oracle Corporation,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
AGG,iShares Core U.S. Aggregate Bond ETF,2,Fixed Income,Other,Intermediate Core Bond,ETF,-
AKAM,Akamai Technologies Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
ATEN,A10 Network,4.9,Equities,Information Technology,Software,Common Stock,CyberSecurity
CACI,CACI International Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
CSCO,Cisco Systems Inc,4.9,Equities,Information Technology,Communications Equipment,Common Stock,CyberSecurity
SAIC,Science Applications International Corp,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
DE,Deere & Company,4.9,Equities,Industrials,Machinery,Common Stock,AI & Analytics
MSFT,Microsoft Corporation,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
NVDA,NVIDIA Corporation,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
ON,ON Semiconductor Corporation,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
PTC,PTC Inc,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
ADI,Analog Devices Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
ANET,Arista Networks,4.9,Equities,Information Technology,Communications Equipment,Common Stock,5G & Internet of Things
BMI,Badger Meter Inc,4.9,Equities,Information Technology,"Electronic Equipment, Instruments & Components",Common Stock,5G & Internet of Things
RMBS,Rambus Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
ROK,Rockwell Automation Inc,4.9,Equities,Industrials,Electrical Equipment,Common Stock,5G & Internet of Things
