Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,97.589996,99.669998,97.250000,99.019997,89.001526,406913
2019-01-03,98.830002,98.830002,96.080002,96.269997,86.529747,635309
2019-01-04,98.139999,101.089996,97.830002,100.370003,90.214951,421645
2019-01-07,100.620003,102.334999,99.750000,100.750000,90.556496,613951
2019-01-08,101.099998,102.239998,99.970001,101.099998,90.871086,430426
2019-01-09,103.000000,103.849998,102.070000,102.330002,91.976646,290341
2019-01-10,101.190002,103.919998,100.650002,103.690002,93.199043,787511
2019-01-11,103.139999,105.760002,102.290001,105.589996,94.906807,898710
2019-01-14,104.709999,105.442703,103.940002,104.809998,94.205711,311997
2019-01-15,104.800003,105.279999,103.169998,104.260002,93.711349,254713
2019-01-16,104.580002,106.809998,104.330002,105.050003,94.421432,513365
2019-01-17,104.309998,107.269997,104.309998,106.559998,95.778664,271159
2019-01-18,107.480003,109.470001,107.250000,107.599998,96.713409,329382
2019-01-22,107.070000,107.449997,103.769997,104.449997,93.882126,523877
2019-01-23,105.040001,106.419998,103.470001,103.910004,93.396790,454063
2019-01-24,104.070000,105.500000,103.680000,104.459999,93.891151,259696
2019-01-25,105.919998,106.709999,105.099998,105.620003,94.933754,191326
2019-01-28,104.160004,106.660004,103.989998,105.690002,94.996681,334065
2019-01-29,106.989998,108.580002,104.010002,107.800003,96.893211,346309
2019-01-30,108.779999,109.190002,107.129997,108.269997,97.315666,204416
2019-01-31,108.739998,110.589996,107.919998,109.330002,98.268417,372194
2019-02-01,109.720001,110.459999,108.260002,110.230003,99.077354,331360
2019-02-04,109.889999,111.250000,108.970001,111.250000,99.994148,409446
2019-02-05,118.949997,119.500000,113.044998,113.919998,102.394020,685254
2019-02-06,114.230003,115.919998,114.182999,115.239998,103.580467,328977
2019-02-07,114.930000,115.989998,113.559998,115.000000,103.364723,341095
2019-02-08,114.650002,115.529999,114.400002,115.320000,103.652351,343097
2019-02-11,115.370003,116.699997,114.940002,115.279999,103.616402,402560
2019-02-12,116.370003,117.089996,115.660004,115.959999,104.227615,592124
2019-02-13,116.550003,117.864998,116.550003,116.889999,105.063515,457789
2019-02-14,116.449997,117.599998,115.779999,115.849998,104.128723,518983
2019-02-15,116.889999,118.711304,116.296997,118.610001,106.609489,345993
2019-02-19,118.389999,119.544998,118.165001,118.680000,106.672409,439722
2019-02-20,118.839996,120.589996,118.410004,119.790001,107.670105,364450
2019-02-21,119.400002,120.160004,118.720001,119.239998,107.175735,276576
2019-02-22,119.870003,120.889999,119.010002,120.190002,108.029633,229922
2019-02-25,121.050003,121.875000,120.400002,120.639999,108.434090,320051
2019-02-26,120.010002,120.785004,118.989998,119.029999,106.987000,223643
2019-02-27,118.320000,118.919998,117.514999,118.610001,107.367172,247597
2019-02-28,118.230003,118.750000,117.309998,118.050003,106.860260,196020
2019-03-01,119.129997,119.129997,116.900002,118.099998,106.905518,243271
