Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.860000,6.980000,6.770000,6.960000,6.960000,953000
2019-01-03,6.870000,6.920000,6.710000,6.810000,6.810000,823100
2019-01-04,6.890000,6.980000,6.760000,6.850000,6.850000,669100
2019-01-07,6.900000,6.980000,6.840000,6.960000,6.960000,943100
2019-01-08,6.910000,7.070000,6.910000,7.010000,7.010000,1451300
2019-01-09,7.050000,7.330000,7.020000,7.300000,7.300000,1510300
2019-01-10,7.270000,7.280000,6.990000,7.260000,7.260000,768600
2019-01-11,7.220000,7.430000,7.180000,7.400000,7.400000,1166600
2019-01-14,7.420000,7.730000,7.320000,7.410000,7.410000,2483400
2019-01-15,7.460000,7.460000,7.110000,7.250000,7.250000,1362700
2019-01-16,7.250000,7.310000,7.080000,7.220000,7.220000,2036800
2019-01-17,7.210000,7.320000,7.120000,7.290000,7.290000,2739300
2019-01-18,7.310000,7.520000,7.250000,7.440000,7.440000,595500
2019-01-22,7.380000,7.380000,7.070000,7.210000,7.210000,529800
2019-01-23,7.220000,7.370000,7.130000,7.290000,7.290000,923100
2019-01-24,7.350000,7.690000,7.350000,7.520000,7.520000,1110300
2019-01-25,7.560000,7.930000,7.560000,7.780000,7.780000,1536900
2019-01-28,7.640000,7.800000,7.560000,7.570000,7.570000,1150700
2019-01-29,7.600000,7.640000,7.460000,7.540000,7.540000,501800
2019-01-30,7.630000,7.810000,7.560000,7.800000,7.800000,1018200
2019-01-31,7.800000,7.880000,7.720000,7.800000,7.800000,1001500
2019-02-01,7.800000,7.900000,7.720000,7.750000,7.750000,1054000
2019-02-04,7.750000,7.830000,7.680000,7.810000,7.810000,368700
2019-02-05,7.810000,7.920000,7.810000,7.860000,7.860000,589400
2019-02-06,7.890000,8.070000,7.870000,7.960000,7.960000,1458900
2019-02-07,7.900000,7.990000,7.860000,7.900000,7.900000,723200
2019-02-08,7.800000,8.040000,7.680000,7.950000,7.950000,674200
2019-02-11,8.000000,8.020000,7.830000,7.950000,7.950000,1125700
2019-02-12,7.980000,8.270000,7.980000,8.180000,8.180000,1607100
2019-02-13,9.350000,10.710000,9.340000,10.600000,10.600000,14794600
2019-02-14,10.700000,11.590000,10.540000,11.500000,11.500000,11223800
2019-02-15,11.320000,11.380000,10.800000,11.080000,11.080000,4800600
2019-02-19,11.040000,11.570000,10.950000,11.230000,11.230000,2957200
2019-02-20,11.230000,11.780000,11.220000,11.750000,11.750000,3323400
2019-02-21,11.830000,12.010000,11.670000,11.840000,11.840000,2488100
2019-02-22,12.350000,12.450000,12.070000,12.340000,12.340000,3367000
2019-02-25,12.460000,12.500000,12.140000,12.340000,12.340000,2354200
2019-02-26,12.320000,12.410000,11.710000,12.100000,12.100000,2898700
2019-02-27,12.010000,12.180000,11.710000,12.100000,12.100000,1951600
2019-02-28,12.280000,12.500000,11.760000,11.800000,11.800000,2352200
2019-03-01,11.930000,12.540000,11.860000,12.450000,12.450000,3222200
2019-03-04,12.490000,12.700000,12.230000,12.650000,12.650000,2207700
2019-03-05,12.590000,12.790000,12.540000,12.690000,12.690000,1267000
2019-03-06,12.670000,12.750000,12.550000,12.610000,12.610000,1781600
2019-03-07,12.580000,12.660000,12.380000,12.600000,12.600000,1503000
2019-03-08,12.450000,12.700000,12.400000,12.550000,12.550000,1638000
2019-03-11,12.580000,13.170000,12.570000,13.000000,13.000000,2129800
2019-03-12,13.000000,13.020000,12.690000,12.710000,12.710000,1277300
2019-03-13,12.750000,13.090000,12.690000,13.000000,13.000000,1801400
2019-03-14,13.000000,13.120000,12.660000,12.790000,12.790000,2303600
2019-03-15,12.820000,13.110000,12.790000,12.910000,12.910000,3011400
2019-03-18,12.860000,12.960000,12.200000,12.560000,12.560000,1741200
2019-03-19,12.670000,12.920000,12.560000,12.850000,12.850000,1422700
2019-03-20,12.840000,12.950000,12.490000,12.650000,12.650000,1129000
2019-03-21,12.640000,12.870000,12.600000,12.690000,12.690000,1077700
2019-03-22,12.600000,12.650000,12.120000,12.230000,12.230000,1409600
2019-03-25,12.210000,12.300000,12.010000,12.230000,12.230000,1126700
2019-03-26,12.260000,12.500000,12.040000,12.210000,12.210000,740100
2019-03-27,12.220000,12.350000,11.720000,11.920000,11.920000,1470800
2019-03-28,11.930000,12.140000,11.730000,11.740000,11.740000,1179000
2019-03-29,11.840000,12.050000,11.760000,11.930000,11.930000,1465600
2019-04-01,12.070000,12.170000,11.860000,12.110000,12.110000,1414600
2019-04-02,12.110000,12.350000,11.900000,12.000000,12.000000,1424200
2019-04-03,12.130000,12.820000,12.010000,12.620000,12.620000,2582000
2019-04-04,12.580000,12.730000,12.470000,12.680000,12.680000,886800
2019-04-05,12.790000,13.000000,12.660000,12.860000,12.860000,2131500
2019-04-08,12.820000,12.890000,12.710000,12.780000,12.780000,998200
2019-04-09,12.550000,12.900000,12.500000,12.780000,12.780000,995000
2019-04-10,12.690000,13.360000,12.560000,13.210000,13.210000,2883000
2019-04-11,13.220000,13.220000,12.850000,12.940000,12.940000,1461600
2019-04-12,13.000000,13.220000,12.780000,13.200000,13.200000,1773200
2019-04-15,13.200000,13.440000,12.780000,12.840000,12.840000,1119600
2019-04-16,12.860000,13.090000,12.810000,13.050000,13.050000,1019500
2019-04-17,13.100000,13.200000,11.190000,12.610000,12.610000,3934800
2019-04-18,12.590000,12.790000,12.290000,12.660000,12.660000,1509400
2019-04-22,12.580000,12.970000,12.300000,12.960000,12.960000,1321900
2019-04-23,13.000000,13.190000,12.880000,13.140000,13.140000,1495300
2019-04-24,13.170000,13.580000,12.910000,13.380000,13.380000,2355500
2019-04-25,13.240000,13.240000,12.270000,12.770000,12.770000,2286300
2019-04-26,12.690000,12.810000,12.150000,12.780000,12.780000,2092700
2019-04-29,12.840000,12.840000,12.660000,12.690000,12.690000,1171800
2019-04-30,12.540000,12.950000,12.290000,12.950000,12.950000,2223800
2019-05-01,13.780000,14.930000,13.390000,13.490000,13.490000,4792700
2019-05-02,13.450000,14.020000,13.320000,13.890000,13.890000,2155900
2019-05-03,13.900000,14.800000,13.900000,14.790000,14.790000,3193300
2019-05-06,14.290000,14.850000,14.210000,14.780000,14.780000,1813800
2019-05-07,14.670000,14.840000,13.990000,14.310000,14.310000,1880000
2019-05-08,14.220000,14.390000,13.900000,13.910000,13.910000,1498300
2019-05-09,13.700000,13.790000,13.240000,13.660000,13.660000,1625500
2019-05-10,13.650000,13.990000,13.420000,13.660000,13.660000,1227400
2019-05-13,13.220000,13.350000,12.790000,13.020000,13.020000,1624400
2019-05-14,13.130000,13.450000,13.050000,13.330000,13.330000,1925800
2019-05-15,13.220000,13.930000,13.120000,13.800000,13.800000,1879600
2019-05-16,13.710000,13.980000,13.550000,13.590000,13.590000,1343500
2019-05-17,13.380000,13.490000,12.240000,12.330000,12.330000,2562000
2019-05-20,12.150000,12.150000,11.060000,11.450000,11.450000,6018200
2019-05-21,11.500000,12.260000,11.250000,12.160000,12.160000,3538800
2019-05-22,12.000000,12.260000,11.820000,11.840000,11.840000,1962500
2019-05-23,11.640000,11.760000,11.260000,11.710000,11.710000,1491500
2019-05-24,11.860000,12.060000,11.770000,11.970000,11.970000,945400
2019-05-28,12.050000,12.190000,11.900000,12.010000,12.010000,1153000
2019-05-29,11.870000,12.320000,11.760000,12.150000,12.150000,1104500
2019-05-30,12.190000,12.500000,12.180000,12.350000,12.350000,935400
2019-05-31,12.180000,12.820000,12.060000,12.800000,12.800000,1474900
2019-06-03,12.930000,13.210000,12.660000,12.810000,12.810000,1591900
2019-06-04,12.960000,13.490000,12.960000,13.460000,13.460000,1555900
2019-06-05,13.540000,13.810000,13.330000,13.770000,13.770000,1377100
2019-06-06,13.800000,14.380000,13.750000,14.330000,14.330000,1970800
2019-06-07,14.360000,14.550000,14.160000,14.290000,14.290000,1592000
2019-06-10,14.420000,14.930000,14.390000,14.730000,14.730000,1700300
2019-06-11,14.990000,15.210000,14.720000,15.010000,15.010000,1586500
2019-06-12,14.870000,15.000000,14.330000,14.430000,14.430000,1018700
2019-06-13,14.520000,14.620000,14.260000,14.350000,14.350000,803700
2019-06-14,14.060000,14.170000,13.750000,13.830000,13.830000,715500
2019-06-17,13.800000,14.230000,13.690000,14.090000,14.090000,1593700
2019-06-18,14.220000,14.860000,14.220000,14.690000,14.690000,1102100
2019-06-19,14.800000,14.940000,14.510000,14.910000,14.910000,1142200
2019-06-20,15.200000,15.370000,14.900000,14.940000,14.940000,1678500
2019-06-21,14.840000,14.890000,14.160000,14.390000,14.390000,2653100
2019-06-24,14.380000,14.500000,13.950000,13.980000,13.980000,816700
2019-06-25,13.940000,14.200000,13.600000,13.650000,13.650000,699900
2019-06-26,13.870000,13.990000,13.500000,13.620000,13.620000,1537700
2019-06-27,13.680000,14.040000,13.680000,14.030000,14.030000,1252600
2019-06-28,14.140000,14.670000,14.060000,14.590000,14.590000,2973000
2019-07-01,15.130000,15.350000,14.560000,15.100000,15.100000,1781100
2019-07-02,15.100000,15.180000,14.470000,14.700000,14.700000,1432600
2019-07-03,14.820000,14.970000,14.600000,14.920000,14.920000,1328100
2019-07-05,14.880000,15.100000,14.580000,15.070000,15.070000,678300
2019-07-08,14.870000,15.180000,14.800000,15.020000,15.020000,973400
2019-07-09,14.990000,15.860000,14.940000,15.380000,15.380000,2696200
2019-07-10,15.600000,15.940000,15.380000,15.880000,15.880000,2538900
2019-07-11,16.040001,16.290001,15.620000,16.250000,16.250000,2508400
2019-07-12,16.280001,17.020000,16.270000,16.620001,16.620001,3204600
2019-07-15,16.780001,17.070000,16.370001,16.879999,16.879999,2247100
2019-07-16,16.870001,16.950001,16.139999,16.150000,16.150000,1946800
2019-07-17,16.209999,16.440001,16.070000,16.389999,16.389999,1849100
2019-07-18,16.350000,16.570000,16.120001,16.180000,16.180000,2290800
2019-07-19,16.200001,16.639999,16.200001,16.370001,16.370001,1144600
2019-07-22,16.450001,16.780001,16.350000,16.379999,16.379999,989600
2019-07-23,16.540001,16.580000,16.100000,16.299999,16.299999,1099900
2019-07-24,16.379999,16.850000,16.240000,16.790001,16.790001,2653200
2019-07-25,16.730000,16.900000,16.530001,16.660000,16.660000,1517700
2019-07-26,16.820000,16.840000,16.590000,16.680000,16.680000,884500
2019-07-29,16.709999,16.760000,16.330000,16.379999,16.379999,1866400
2019-07-30,16.139999,16.719999,15.670000,16.410000,16.410000,2296100
2019-07-31,18.469999,20.250000,18.400000,19.340000,19.340000,12246800
2019-08-01,19.600000,20.900000,19.020000,19.299999,19.299999,6372700
2019-08-02,19.150000,19.270000,18.590000,19.020000,19.020000,2041000
2019-08-05,18.450001,18.780001,18.170000,18.600000,18.600000,2016000
2019-08-06,19.110001,19.620001,18.740000,18.870001,18.870001,1582300
2019-08-07,18.469999,18.780001,18.200001,18.320000,18.320000,1690900
2019-08-08,18.580000,19.840000,18.459999,19.360001,19.360001,2019100
2019-08-09,19.160000,19.350000,18.770000,18.959999,18.959999,1197400
2019-08-12,18.959999,19.200001,18.580000,18.629999,18.629999,1302500
2019-08-13,18.540001,19.340000,18.459999,19.080000,19.080000,1269200
2019-08-14,18.559999,18.709999,17.940001,18.450001,18.450001,3497800
2019-08-15,18.500000,18.680000,18.120001,18.430000,18.430000,831500
2019-08-16,18.660000,19.299999,18.639999,19.080000,19.080000,2050500
2019-08-19,19.459999,19.750000,18.920000,18.950001,18.950001,1935700
2019-08-20,19.000000,19.250000,18.799999,19.110001,19.110001,1397400
2019-08-21,19.400000,20.170000,19.200001,20.059999,20.059999,1904400
2019-08-22,20.200001,20.480000,19.360001,19.980000,19.980000,1301600
2019-08-23,19.680000,19.879999,18.760000,18.860001,18.860001,1986300
2019-08-26,19.129999,19.209999,18.930000,19.070000,19.070000,801000
2019-08-27,19.290001,19.510000,18.969999,19.250000,19.250000,1641400
2019-08-28,19.250000,19.440001,19.000000,19.250000,19.250000,1176600
2019-08-29,19.450001,20.139999,19.360001,19.889999,19.889999,1652100
2019-08-30,20.110001,20.379999,19.540001,19.690001,19.690001,2058400
2019-09-03,19.670000,19.680000,18.200001,18.540001,18.540001,3158900
2019-09-04,18.809999,19.270000,18.760000,19.200001,19.200001,1335200
2019-09-05,19.500000,20.420000,19.430000,19.730000,19.730000,1841400
2019-09-06,19.799999,20.230000,19.700001,19.980000,19.980000,1298200
2019-09-09,20.049999,21.440001,19.580000,20.850000,20.850000,4022300
