Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,62.560001,64.180000,62.009998,63.349998,58.256298,270300
2019-01-03,62.480000,62.810001,60.880001,61.520000,56.573441,276200
2019-01-04,62.630001,64.279999,62.630001,63.970001,58.826462,432500
2019-01-07,63.970001,64.510002,63.080002,64.160004,59.001179,470900
2019-01-08,64.580002,65.589996,63.959999,65.500000,60.233425,335900
2019-01-09,65.410004,65.769997,62.680000,64.650002,59.451782,642000
2019-01-10,64.339996,64.650002,63.090000,64.559998,59.655071,487000
2019-01-11,64.019997,66.339996,63.369999,65.029999,60.089352,3414300
2019-01-14,64.730003,65.440002,63.919998,64.139999,59.266975,828800
2019-01-15,63.790001,64.470001,62.560001,63.290001,58.481552,818900
2019-01-16,63.099998,64.250000,62.860001,63.599998,58.768002,590200
2019-01-17,63.330002,66.260002,63.139999,65.650002,60.662243,516400
2019-01-18,66.199997,67.010002,65.809998,66.010002,60.994907,429500
2019-01-22,66.050003,66.059998,64.980003,65.500000,60.523647,500200
2019-01-23,65.639999,66.209999,64.080002,64.209999,59.331654,368300
2019-01-24,64.220001,65.379997,64.150002,64.269997,59.387089,366000
2019-01-25,64.910004,67.790001,64.389999,67.400002,62.279305,515600
2019-01-28,66.570000,67.620003,65.470001,66.660004,61.595516,414400
2019-01-29,66.620003,67.660004,66.209999,67.400002,62.279305,339100
2019-01-30,67.900002,68.059998,66.629997,67.570000,62.436382,383400
2019-01-31,67.500000,68.239998,66.849998,67.139999,62.039055,291200
2019-02-01,67.360001,68.269997,66.739998,67.610001,62.473343,452900
2019-02-04,67.650002,69.129997,67.400002,69.029999,63.785461,482800
2019-02-05,69.080002,69.889999,68.879997,69.599998,64.312149,362700
2019-02-06,69.620003,70.169998,68.500000,70.160004,64.829613,402500
2019-02-07,69.809998,70.879997,69.540001,70.769997,65.393265,397500
2019-02-08,70.250000,71.430000,70.110001,71.379997,65.956924,478800
2019-02-11,71.379997,71.580002,70.559998,71.309998,65.892242,333600
2019-02-12,71.949997,72.680000,71.529999,72.650002,67.130417,334500
2019-02-13,72.839996,74.169998,72.709999,73.900002,68.285477,432400
2019-02-14,73.639999,75.059998,73.589996,74.570000,68.904549,495800
2019-02-15,75.099998,76.620003,75.099998,76.589996,70.771088,390700
2019-02-19,76.470001,77.500000,75.959999,76.919998,71.075996,490500
2019-02-20,76.580002,76.769997,75.110001,76.500000,70.687935,396300
2019-02-21,76.279999,76.279999,75.059998,75.720001,69.967186,261900
2019-02-22,75.690002,76.629997,75.309998,76.599998,70.780334,306500
2019-02-25,77.209999,77.209999,76.230003,76.279999,70.484642,297800
2019-02-26,76.019997,76.209999,74.809998,75.169998,69.458969,368400
2019-02-27,75.080002,75.480003,74.660004,75.199997,69.486694,205400
2019-02-28,75.250000,75.300003,74.599998,74.699997,69.024681,275400
2019-03-01,75.309998,75.760002,74.360001,75.669998,69.920975,289900
2019-03-04,76.040001,76.129997,73.500000,74.440002,68.784447,351600
2019-03-05,74.449997,74.449997,73.239998,73.459999,67.878883,258000
2019-03-06,73.570000,73.660004,72.099998,72.400002,66.899414,262300
2019-03-07,72.379997,72.419998,71.180000,71.699997,66.252594,247600
2019-03-08,71.000000,71.820000,70.940002,71.800003,66.345009,209700
2019-03-11,71.809998,72.489998,70.650002,72.400002,66.899414,374200
2019-03-12,72.559998,72.690002,71.510002,72.449997,66.945602,372800
2019-03-13,72.940002,73.750000,72.709999,73.300003,67.731049,379000
2019-03-14,73.339996,73.489998,72.699997,72.769997,67.241302,323600
2019-03-15,72.830002,73.459999,72.419998,72.910004,67.370667,1035400
2019-03-18,72.989998,73.779999,72.849998,73.459999,67.878883,251900
2019-03-19,74.059998,74.059998,72.779999,72.989998,67.444603,279700
2019-03-20,73.059998,73.190002,71.650002,72.089996,66.612968,299600
2019-03-21,71.930000,73.500000,71.730003,72.809998,67.278252,282100
2019-03-22,72.440002,72.500000,69.989998,70.989998,65.596535,633700
2019-03-25,70.809998,71.300003,70.070000,71.129997,65.725914,466900
2019-03-26,71.730003,73.949997,71.730003,73.849998,68.239265,521500
2019-03-27,73.779999,73.959999,71.820000,73.290001,67.721817,307900
2019-03-28,73.620003,74.809998,73.089996,73.550003,67.962051,551500
2019-03-29,80.760002,82.500000,76.529999,76.949997,71.103737,1608000
2019-04-01,77.449997,78.080002,74.250000,77.279999,71.408661,936700
2019-04-02,77.169998,77.169998,75.139999,76.080002,70.299812,855700
2019-04-03,76.580002,76.610001,74.489998,74.650002,68.978477,709900
2019-04-04,74.690002,75.180000,74.169998,74.970001,69.274185,510000
2019-04-05,75.570000,76.550003,75.190002,75.910004,70.142761,329300
2019-04-08,75.970001,76.110001,74.760002,75.580002,69.837830,332900
2019-04-09,75.309998,75.510002,74.279999,74.330002,68.682785,274000
2019-04-10,74.379997,75.190002,73.839996,74.919998,69.227966,621100
2019-04-11,74.830002,75.110001,74.309998,74.540001,69.218689,394700
2019-04-12,74.870003,74.930000,74.000000,74.510002,69.190834,356300
2019-04-15,74.660004,75.080002,74.279999,74.500000,69.181541,435900
2019-04-16,74.800003,74.800003,73.199997,73.839996,68.568634,433100
2019-04-17,74.089996,74.339996,71.970001,72.419998,67.250015,354100
2019-04-18,72.300003,73.099998,71.430000,73.010002,67.797913,620500
2019-04-22,73.050003,73.730003,72.660004,73.620003,68.364380,1094700
2019-04-23,74.019997,75.000000,73.860001,73.889999,68.615082,558400
2019-04-24,73.889999,74.400002,73.199997,73.470001,68.225075,383000
2019-04-25,73.370003,74.019997,72.480003,73.639999,68.382927,313700
2019-04-26,73.680000,74.360001,73.360001,73.989998,68.707924,199000
2019-04-29,73.989998,74.480003,73.290001,73.430000,68.187935,328500
2019-04-30,73.699997,75.129997,73.540001,74.949997,69.599403,536200
2019-05-01,75.230003,75.589996,73.250000,73.269997,68.039322,381300
2019-05-02,73.250000,74.389999,72.349998,73.269997,68.039322,507700
2019-05-03,74.669998,75.470001,73.629997,75.019997,69.664391,419300
2019-05-06,73.699997,76.580002,73.620003,76.410004,70.955200,283300
2019-05-07,75.570000,76.199997,74.400002,75.220001,69.850136,439500
2019-05-08,75.000000,75.919998,74.550003,75.650002,70.249428,312500
2019-05-09,74.820000,76.220001,74.309998,75.790001,70.379440,305800
2019-05-10,75.339996,76.889999,74.870003,76.669998,71.196625,270100
2019-05-13,75.180000,75.180000,73.089996,73.400002,68.160057,297800
2019-05-14,73.419998,74.419998,73.070000,73.910004,68.633659,203800
2019-05-15,73.110001,74.820000,72.949997,74.690002,69.357986,324800
2019-05-16,76.309998,78.849998,76.269997,78.260002,72.673103,585600
2019-05-17,77.879997,79.019997,77.709999,78.300003,72.710258,431000
2019-05-20,77.419998,78.980003,77.269997,78.599998,72.988838,326100
2019-05-21,79.320000,79.849998,78.680000,79.040001,73.397430,360300
2019-05-22,78.769997,79.230003,78.370003,78.480003,72.877426,245600
2019-05-23,77.580002,77.669998,76.080002,77.250000,71.735229,322600
2019-05-24,77.900002,78.919998,77.239998,78.720001,73.100281,336900
2019-05-28,78.720001,79.709999,78.279999,78.529999,72.923836,318800
2019-05-29,77.919998,78.010002,76.739998,77.760002,72.208809,343300
2019-05-30,78.230003,78.739998,77.080002,77.610001,72.069511,329600
2019-05-31,76.699997,77.230003,76.000000,76.739998,71.261627,323400
2019-06-03,77.220001,78.010002,76.220001,76.820000,71.335915,486500
2019-06-04,77.550003,78.150002,76.720001,77.650002,72.106644,497800
2019-06-05,78.279999,79.360001,77.930000,79.279999,73.620285,683000
2019-06-06,79.019997,85.669998,77.309998,84.949997,78.885529,1491900
2019-06-07,84.800003,86.580002,84.070000,86.050003,79.907005,664100
2019-06-10,86.639999,87.669998,85.589996,86.529999,80.352722,651300
2019-06-11,87.250000,88.379997,84.669998,84.900002,78.839088,644700
2019-06-12,84.660004,86.000000,83.750000,85.650002,79.535530,460700
