Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,106.550003,106.610001,106.470001,106.570000,95.217705,11200700
2019-01-03,106.570000,107.080002,106.570000,107.010002,95.610855,6497000
2019-01-04,106.660004,106.720001,106.550003,106.690002,95.324982,8149000
2019-01-07,106.720001,106.790001,106.459999,106.510002,95.164154,7433700
2019-01-08,106.400002,106.529999,106.379997,106.430000,95.092682,4395600
2019-01-09,106.419998,106.570000,106.400002,106.519997,95.173073,5458100
2019-01-10,106.519997,106.559998,106.330002,106.400002,95.065872,3532500
2019-01-11,106.580002,106.660004,106.500000,106.550003,95.199898,5759000
2019-01-14,106.570000,106.610001,106.400002,106.400002,95.065872,7544300
2019-01-15,106.540001,106.550003,106.330002,106.419998,95.083748,3690200
2019-01-16,106.330002,106.519997,106.309998,106.510002,95.164154,4007800
2019-01-17,106.529999,106.529999,106.339996,106.430000,95.092682,5547000
2019-01-18,106.370003,106.480003,106.279999,106.349998,95.021179,5643400
2019-01-22,106.440002,106.620003,106.440002,106.440002,95.101616,6824000
2019-01-23,106.379997,106.589996,106.370003,106.550003,95.199898,3222800
2019-01-24,106.720001,106.839996,106.669998,106.730003,95.360725,7308900
2019-01-25,106.639999,106.699997,106.559998,106.680000,95.316063,3469500
2019-01-28,106.620003,106.750000,106.580002,106.620003,95.262436,7365700
2019-01-29,106.730003,106.930000,106.690002,106.900002,95.512604,6158600
2019-01-30,106.790001,107.150002,106.790001,107.139999,95.727043,6350400
2019-01-31,107.300003,107.529999,107.290001,107.459999,96.012932,14766500
2019-02-01,107.089996,107.150002,106.879997,106.970001,95.814087,7227900
2019-02-04,106.830002,106.900002,106.769997,106.879997,95.733482,14227700
2019-02-05,106.949997,107.139999,106.949997,107.110001,95.939507,8913500
2019-02-06,107.199997,107.220001,106.989998,107.050003,95.885796,6449600
2019-02-07,107.150002,107.199997,107.029999,107.099998,95.930542,3938900
2019-02-08,107.169998,107.379997,107.169998,107.339996,96.145523,4288600
2019-02-11,107.230003,107.279999,107.150002,107.230003,96.047012,3521000
2019-02-12,107.220001,107.260002,107.120003,107.250000,96.064880,3136700
2019-02-13,107.080002,107.139999,107.010002,107.059998,95.894699,2526100
2019-02-14,107.330002,107.349998,107.169998,107.220001,96.038017,2908500
2019-02-15,107.250000,107.309998,107.190002,107.300003,96.109665,2413900
2019-02-19,107.430000,107.449997,107.279999,107.360001,96.163406,6235500
2019-02-20,107.370003,107.389999,107.279999,107.370003,96.172409,3231100
2019-02-21,107.160004,107.180000,107.099998,107.129997,95.957413,3677000
2019-02-22,107.250000,107.519997,107.220001,107.400002,96.199265,2731500
2019-02-25,107.349998,107.400002,107.300003,107.370003,96.172409,3645400
2019-02-26,107.529999,107.570000,107.430000,107.489998,96.279900,4759400
2019-02-27,107.400002,107.400002,107.209999,107.260002,96.073860,2988300
2019-02-28,107.260002,107.290001,107.029999,107.070000,95.903671,11872100
2019-03-01,106.769997,106.839996,106.610001,106.629997,95.748344,5527000
2019-03-04,106.739998,106.839996,106.690002,106.760002,95.865051,3837200
2019-03-05,106.730003,106.839996,106.669998,106.830002,95.927925,5835800
2019-03-06,106.879997,107.070000,106.849998,106.989998,96.071587,4834000
2019-03-07,107.160004,107.349998,107.120003,107.290001,96.340988,6089100
2019-03-08,107.309998,107.470001,107.239998,107.430000,96.466682,4943100
