Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.130000,6.270000,6.070000,6.200000,6.022055,244700
2019-01-03,6.150000,6.180000,6.010000,6.010000,5.837508,151000
2019-01-04,6.110000,6.240000,6.080000,6.160000,5.983203,178500
2019-01-07,6.140000,6.240000,6.050000,6.210000,6.031768,273900
2019-01-08,6.240000,6.460000,6.220000,6.460000,6.274593,415800
2019-01-09,6.470000,6.610000,6.420000,6.560000,6.371723,346500
2019-01-10,6.560000,6.780000,6.530000,6.690000,6.497992,324300
2019-01-11,6.640000,6.760000,6.620000,6.700000,6.507704,314700
2019-01-14,6.640000,6.640000,6.220000,6.250000,6.070620,401100
2019-01-15,6.250000,6.580000,6.250000,6.470000,6.284306,513000
2019-01-16,6.490000,6.550000,6.430000,6.460000,6.274593,341300
2019-01-17,6.450000,6.470000,6.340000,6.410000,6.226027,307000
2019-01-18,6.460000,6.740000,6.440000,6.710000,6.517418,1145100
2019-01-22,6.660000,6.780000,6.440000,6.520000,6.332870,400700
2019-01-23,6.520000,6.640000,6.480000,6.560000,6.371723,256900
2019-01-24,6.550000,6.750000,6.540000,6.590000,6.400862,340800
2019-01-25,6.640000,6.710000,6.590000,6.610000,6.420287,334200
2019-01-28,6.560000,6.630000,6.500000,6.520000,6.332870,285000
2019-01-29,6.550000,6.630000,6.470000,6.560000,6.371723,181200
2019-01-30,6.570000,6.710000,6.520000,6.700000,6.507704,213200
2019-01-31,6.700000,6.840000,6.660000,6.790000,6.595121,378900
2019-02-01,6.790000,6.970000,6.790000,6.890000,6.692250,253000
2019-02-04,6.860000,7.030000,6.860000,7.000000,6.799094,349100
2019-02-05,7.020000,7.030000,6.940000,7.020000,6.818520,280600
2019-02-06,6.950000,7.110000,6.920000,7.010000,6.808807,521800
2019-02-07,6.980000,7.070000,6.940000,7.060000,6.857372,366800
2019-02-08,7.050000,7.050000,6.460000,6.480000,6.294018,705300
2019-02-11,6.510000,6.710000,6.510000,6.620000,6.430001,482200
2019-02-12,6.670000,6.690000,6.500000,6.670000,6.478566,618400
2019-02-13,6.650000,6.750000,6.610000,6.660000,6.468852,546100
2019-02-14,6.630000,6.770000,6.630000,6.670000,6.478566,278300
